gene,avg_bulk_CPM,hgnc_symbol
ENSG00000167996,355.42207847952875,FTH1
ENSG00000163399,355.0324831703236,ATP1A1
ENSG00000186081,354.9124227888947,KRT5
ENSG00000152601,351.8926621958807,MBNL1
ENSG00000115523,351.29039194306506,GNLY
ENSG00000111716,351.1002450108046,LDHB
ENSG00000092841,350.91838356397943,MYL6
ENSG00000166710;ENSG00000273686,349.3486799356242,B2M
ENSG00000189067,349.10323648003407,LITAF
ENSG00000159140,348.25463448751435,SON
ENSG00000109332,346.3582180375535,UBE2D3
ENSG00000137575,345.5161709670481,SDCBP
ENSG00000185215,345.3305196016721,TNFAIP2
ENSG00000135535,345.2292105966967,CD164
ENSG00000115091,344.06704461530586,ACTR3
ENSG00000105193,342.63433253826685,RPS16
ENSG00000125730,342.5418464637281,C3
ENSG00000185201,341.35907680952073,IFITM2
ENSG00000131469,340.4916725901686,RPL27
ENSG00000100234,339.80895729543863,TIMP3
ENSG00000186395,338.7277356156508,KRT10
ENSG00000107581,338.1954761868089,EIF3A
ENSG00000170345,337.8678896247422,FOS
ENSG00000165168,337.50407402263386,CYBB
ENSG00000197081,335.80318424036204,IGF2R
ENSG00000135404,334.84737836695746,CD63
ENSG00000100650,333.9594398194871,SRSF5
ENSG00000083845,333.6843723712231,RPS5
ENSG00000171863,333.1095138129021,RPS7
ENSG00000110436,331.13559502363034,SLC1A2
ENSG00000135218,330.80042045925103,CD36
ENSG00000175899,330.7900731465906,A2M
ENSG00000011465,330.2131028032439,DCN
ENSG00000118816,330.15244782565213,CCNI
ENSG00000116560,330.1117487569885,SFPQ
ENSG00000109475,328.63567424255353,RPL34
ENSG00000183283,327.26747034978314,DAZAP2
ENSG00000117523,327.16231150330907,PRRC2C
ENSG00000120129,326.5443425325543,DUSP1
ENSG00000170027,326.3700763403258,YWHAG
ENSG00000164111,325.2439598552421,ANXA5
ENSG00000123560,324.78406198891463,PLP1
ENSG00000086758,324.65290326003327,HUWE1
ENSG00000133318,324.50410831077915,RTN3
ENSG00000054654,324.29479193618795,SYNE2
ENSG00000169714,323.83080731002167,CNBP
ENSG00000067082,318.9221438542953,KLF6
ENSG00000103187,318.1052532803622,COTL1
ENSG00000162244,317.0423235648583,RPL29
ENSG00000160014,316.3379609430466,CALM3
ENSG00000132639,315.9430797351351,SNAP25
ENSG00000142347,314.40024355528124,MYO1F
ENSG00000047849,313.6355277280698,MAP4
ENSG00000092820,313.4118419512263,EZR
ENSG00000060237,313.01012354261144,WNK1
ENSG00000070831,312.8985411684819,CDC42
ENSG00000145425,312.5685648723983,RPS3A
ENSG00000030582,311.9482048509886,GRN
ENSG00000075415,311.3266191399776,SLC25A3
ENSG00000110700,311.30311066004253,RPS13
ENSG00000163931,311.1917422695344,TKT
ENSG00000143761,311.0761841247682,ARF1
ENSG00000134294,311.04357253712595,SLC38A2
ENSG00000172270,309.74367485054273,BSG
ENSG00000131018,309.43618129639935,SYNE1
ENSG00000115386,309.41423796627845,REG1A
ENSG00000069275,309.3534843782652,NUCKS1
ENSG00000205420,307.47328949530817,KRT6A
ENSG00000114391,307.3056454575872,RPL24
ENSG00000085265,306.79906540871985,FCN1
ENSG00000109061,306.6989044752172,MYH1
ENSG00000152795,305.370965453816,HNRNPDL
ENSG00000108946,304.9735232108949,PRKAR1A
ENSG00000105640,304.72246624124267,RPL18A
ENSG00000257017,304.33708908076625,HP
ENSG00000073921,303.57737951913833,PICALM
ENSG00000162434,303.05292112782615,JAK1
ENSG00000157514,301.3891820179088,TSC22D3
ENSG00000102879,299.41719779224184,CORO1A
ENSG00000119335,299.3387507382503,SET
ENSG00000152518,299.10118648551895,ZFP36L2
ENSG00000152291,298.78101183508966,TGOLN2
ENSG00000115415,298.5244933727539,STAT1
ENSG00000114867,298.41389418105507,EIF4G1
ENSG00000152558,298.10867541925836,TMEM123
ENSG00000163191,297.83007920741335,S100A11
ENSG00000174718,297.633542111906,RESF1
ENSG00000116701,296.2451323656691,NCF2
ENSG00000168036,295.9654978332885,CTNNB1
ENSG00000164309,294.53190546664445,CMYA5
ENSG00000103994,294.39787276909675,ZNF106
ENSG00000079246,294.39233957011214,XRCC5
ENSG00000104763,292.9448616751157,ASAH1
ENSG00000136235,291.9872746677094,GPNMB
ENSG00000101439,291.73298298013214,CST3
ENSG00000142173,289.4623173924445,COL6A2
ENSG00000071127,289.1638718599186,WDR1
ENSG00000130203,287.1140389049469,APOE
ENSG00000100664,286.4383971131669,EIF5
ENSG00000003402,285.1068579450847,CFLAR
ENSG00000184007,284.59500723868257,PTP4A2
ENSG00000100906,284.2956116690325,NFKBIA
ENSG00000147416,284.2864364757169,ATP6V1B2
ENSG00000185624,283.9557292609361,P4HB
ENSG00000081237;ENSG00000262418,283.68751811382435,PTPRC
ENSG00000189403,283.4339913340206,HMGB1
ENSG00000010404,283.17913146053894,IDS
ENSG00000213639,282.6328290535603,PPP1CB
ENSG00000182899,282.608939123243,RPL35A
ENSG00000168385,281.6607174693438,SEPTIN2
ENSG00000142864,279.4279811964228,SERBP1
ENSG00000198408,277.5726382411414,OGA
ENSG00000165280,275.7634987459598,VCP
ENSG00000111913,272.2952184493557,RIPOR2
ENSG00000117335,271.4564969852511,CD46
ENSG00000182670,270.2218386007833,TTC3
ENSG00000112081,269.7813782569841,SRSF3
ENSG00000072778,269.3221006180214,ACADVL
ENSG00000144381,268.699616398437,HSPD1
ENSG00000153827,267.62545836740054,TRIP12
ENSG00000084070,267.0057958579507,SMAP2
ENSG00000127481,266.26542952608315,UBR4
ENSG00000116489,265.0631189458867,CAPZA1
ENSG00000186847,264.897780474819,KRT14
