Gene_EntrezID,DE_Prior_Rank,gene_symbol
5179,0.984039223868141,PENK
9787,0.983987064469017,DLGAP5
4938,0.983934905069894,OAS1
10112,0.98388274567077,KIF20A
474344,0.983830586271646,GIMAP6
114569,0.983752347172961,MAL2
84002,0.983752347172961,B3GNT5
29128,0.983674108074275,UHRF1
9452,0.983595868975589,ITM2A
6286,0.983595868975589,S100P
6690,0.98346547047778,SPINK1
3557,0.98346547047778,IL1RN
991,0.98346547047778,CDC20
8038,0.983361151679533,ADAM12
2537,0.983308992280409,IFI6
5327,0.983230753181723,PLAT
4753,0.983230753181723,NELL2
7045,0.983152514083038,TGFBI
7018,0.983100354683914,TF
634,0.98304819528479,CEACAM1
9935,0.982969956186105,MAFB
7124,0.982969956186105,TNF
28984,0.982891717087419,RGCC
3303,0.982839557688295,HSPA1A
6447,0.98276131858961,SCG5
216,0.98276131858961,ALDH1A1
762,0.982683079490924,CA4
710,0.982630920091801,SERPING1
84870,0.982578760692677,RSPO3
55165,0.982500521593991,CEP55
5079,0.982500521593991,PAX5
8436,0.982422282495306,CAVIN2
1906,0.982370123096182,EDN1
4886,0.982317963697058,NPY1R
57162,0.982265804297935,PELI1
9134,0.982161485499687,CCNE2
3953,0.982161485499687,LEPR
1326,0.982161485499687,MAP3K8
283209,0.98205716670144,PGM2L1
57619,0.981978927602754,SHROOM3
2697,0.981978927602754,GJA1
22822,0.981900688504068,PHLDA1
11130,0.981822449405383,ZWINT
6678,0.981822449405383,SPARC
10170,0.981718130607135,DHRS9
3815,0.981718130607135,KIT
1311,0.98163989150845,COMP
286133,0.981587732109326,SCARA5
1284,0.981535572710202,COL4A2
56937,0.981483413311079,PMEPA1
2289,0.981431253911955,FKBP5
8788,0.981379094512831,DLK1
360,0.981326935113707,AQP3
84624,0.981274775714584,FNDC1
83729,0.98122261631546,INHBE
1009,0.981170456916336,CDH11
4751,0.981118297517213,NEK2
57007,0.981040058418527,ACKR3
7552,0.981040058418527,ZNF711
8406,0.980961819319841,SRPX
4599,0.980909659920718,MX1
9687,0.980857500521594,GREB1
1282,0.98080534112247,COL4A1
80031,0.980753181723347,SEMA6D
51176,0.980674942624661,LEF1
11197,0.980674942624661,WIF1
6876,0.98059670352597506,TAGLN
64092,0.980544544126852,SAMSN1
9388,0.980466305028166,LIPG
213,0.980466305028166,ALB
10512,0.980361986229919,SEMA3C
4317,0.980361986229919,MMP8
5332,0.980283747131233,PLCB4
2151,0.98023158773210906,F2RL2
3598,0.980153348633424,IL13RA2
1236,0.980153348633424,CCR7
5366,0.980075109534738,PMAIP1
4897,0.980022950135614,NRCAM
387758,0.979892551637805,FIBIN
84525,0.979892551637805,HOPX
22797,0.979892551637805,TFEC
3899,0.979892551637805,AFF3
256764,0.979709993740872,WDR72
5734,0.979709993740872,PTGER4
4792,0.979709993740872,NFKBIA
9315,0.979605674942625,NREP
83540,0.979527435843939,NUF2
10578,0.979527435843939,GNLY
3122,0.979423117045692,HLA-DRA
1368,0.979423117045692,CPM
7031,0.979344877947006,TFF1
629,0.979292718547882,CFB
929,0.979240559148759,CD14
1831,0.979188399749635,TSC22D3
9636,0.979136240350511,ISG15
7123,0.979084080951387,CLEC3B
9834,0.979031921552264,FAM30A
3206,0.97897976215314,HOXA10
1910,0.978927602754016,EDNRB
10769,0.978875443354893,PLK2
3113,0.978823283955769,HLA-DPA1
57561,0.978771124556645,ARRDC3
