#id: 1825491670
#name: H.sapiens - Whole organism (Integrated)
#score: 31.9
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 31.9, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.747;9606-PA_201408:0.075;HsapiensBuild242_May2010.peptides.new:0.043;peptideatlaBuild_March2009.peptides.new:0.041;Human_iBAQ_Khan_2013:0.038;9606_GPM_201408:0.036;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;
#publication_year: 2025
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
P4HB	9606.ENSP00000327801	578
H3C13	9606.ENSP00000333277	575
H3C14	9606.ENSP00000358154	575
H3C15	9606.ENSP00000385479	575
KLKB1	9606.ENSP00000264690	573
RPS18	9606.ENSP00000393241	572
C1QA	9606.ENSP00000363773	570
ARPC2	9606.ENSP00000295685	569
EIF5A	9606.ENSP00000336702	559
SET	9606.ENSP00000361777	554
RPS3A	9606.ENSP00000346050	552
NCL	9606.ENSP00000318195	551
H1-2	9606.ENSP00000339566	551
SERPIND1	9606.ENSP00000215727	547
TPM2	9606.ENSP00000496494	546
HNRNPC	9606.ENSP00000451291	546
VCP	9606.ENSP00000351777	540
TUBA3D	9606.ENSP00000326042	540
TUBA3C	9606.ENSP00000382982	540
UBB	9606.ENSP00000478771	536
RPL12	9606.ENSP00000354739	535
YWHAB	9606.ENSP00000361930	535
EZR	9606.ENSP00000338934	534
RPL6	9606.ENSP00000403172	531
ENO3	9606.ENSP00000324105	523
RPS17	9606.ENSP00000498019	522
ARPC3	9606.ENSP00000228825	517
H1-4	9606.ENSP00000307705	515
PEBP1	9606.ENSP00000261313	514
NME1-NME2	9606.ENSP00000376889	513
YWHAG	9606.ENSP00000306330	513
ACTR3	9606.ENSP00000263238	511
ARL6IP5	9606.ENSP00000273258	511
C4BPB	9606.ENSP00000243611	510
H1-3	9606.ENSP00000244534	505
H2AC6	9606.ENSP00000367022	500
H2AW	9606.ENSP00000355656	500
H2AC8	9606.ENSP00000303373	500
H2AC4	9606.ENSP00000483842	500
ARHGDIA	9606.ENSP00000463939	500
TUBA3E	9606.ENSP00000318197	496
H1-5	9606.ENSP00000330074	496
RPS14	9606.ENSP00000385958	495
HNRNPD	9606.ENSP00000313199	492
IDH2	9606.ENSP00000331897	492
APOF	9606.ENSP00000381250	483
RPL10A	9606.ENSP00000363018	482
ZYX	9606.ENSP00000324422	481
TXN	9606.ENSP00000363641	478
HNRNPA1	9606.ENSP00000341826	477
RPL30	9606.ENSP00000428085	475
YWHAQ	9606.ENSP00000371267	474
CCT6A	9606.ENSP00000275603	470
PNP	9606.ENSP00000354532	468
ENSP00000496470	9606.ENSP00000496470	466
TUBA8	9606.ENSP00000333326	464
SERPINB1	9606.ENSP00000370115	463
CDC42	9606.ENSP00000497733	462
TKT	9606.ENSP00000391481	461
RPL24	9606.ENSP00000377640	461
CFHR3	9606.ENSP00000356395	460
LGALS1	9606.ENSP00000215909	457
TUBB3	9606.ENSP00000320295	455
RAN	9606.ENSP00000446215	455
ENO2	9606.ENSP00000437402	454
H2AC13	9606.ENSP00000351589	454
H2AC11	9606.ENSP00000352119	454
H2AC17	9606.ENSP00000352627	454
H2AC15	9606.ENSP00000482431	454
H2AC16	9606.ENSP00000482538	454
H2AC12	9606.ENSP00000366679	454
H2AC14	9606.ENSP00000328484	454
H2AC7	9606.ENSP00000341094	454
H2AJ	9606.ENSP00000438553	453
CFP	9606.ENSP00000247153	451
HINT1	9606.ENSP00000304229	451
RPL21	9606.ENSP00000346027	449
CAPZB	9606.ENSP00000401010	449
PLIN1	9606.ENSP00000300055	448
RPL15	9606.ENSP00000309334	447
MIF	9606.ENSP00000215754	447
F13B	9606.ENSP00000356382	445
XRCC6	9606.ENSP00000352257	443
VASP	9606.ENSP00000245932	437
MYL9	9606.ENSP00000279022	435
ENSP00000493701	9606.ENSP00000493701	435
RPL23A	9606.ENSP00000389103	434
KRT8	9606.ENSP00000449404	433
PRDX3	9606.ENSP00000298510	426
PTBP1	9606.ENSP00000349428	425
KRT18	9606.ENSP00000373489	422
ACTN4	9606.ENSP00000252699	421
CCT4	9606.ENSP00000377958	420
RAB7A	9606.ENSP00000265062	418
CCL5	9606.ENSP00000474412	418
GSTO1	9606.ENSP00000358727	417
RPL38	9606.ENSP00000309830	414
HNRNPU	9606.ENSP00000491215	413
FETUB	9606.ENSP00000265029	413
RPL3	9606.ENSP00000346001	412
CA1	9606.ENSP00000430656	412
PHB2	9606.ENSP00000441875	411
CANX	9606.ENSP00000247461	410
RPL7A	9606.ENSP00000361076	409
CALM3	9606.ENSP00000291295	409
CALM2	9606.ENSP00000499797	409
RPL35	9606.ENSP00000259469	407
hCG_2039566	9606.ENSP00000489311	407
VDAC1	9606.ENSP00000378487	405
RPS6	9606.ENSP00000369757	402
DBI	9606.ENSP00000486361	401
C7	9606.ENSP00000322061	400
RPL7	9606.ENSP00000339795	400
CCT8	9606.ENSP00000286788	400
CAVIN1	9606.ENSP00000349541	400
RPL5	9606.ENSP00000359345	397
RPL13	9606.ENSP00000307889	395
RPS15	9606.ENSP00000466010	394
RPL27	9606.ENSP00000464813	392
DES	9606.ENSP00000363071	391
GP1BB	9606.ENSP00000383382	390
XRCC5	9606.ENSP00000375978	388
CALM1	9606.ENSP00000499717	388
CFD	9606.ENSP00000468253	386
RPL14	9606.ENSP00000379506	385
SERPINA7	9606.ENSP00000329374	385
HNRNPL	9606.ENSP00000221419	385
RPS5	9606.ENSP00000472985	383
GDI2	9606.ENSP00000369538	382
CSTB	9606.ENSP00000291568	382
RPS21	9606.ENSP00000345957	382
C8B	9606.ENSP00000360281	381
EEF1B2	9606.ENSP00000376055	381
PDIA6	9606.ENSP00000385385	380
MTPN	9606.ENSP00000376800	377
CAPNS1	9606.ENSP00000464849	377
CCT5	9606.ENSP00000280326	376
NAP1L1	9606.ENSP00000477538	374
LCP1	9606.ENSP00000381581	369
ACTBL2	9606.ENSP00000416706	368
BTF3	9606.ENSP00000369965	367
NONO	9606.ENSP00000276079	366
UCHL1	9606.ENSP00000284440	364
CCT3	9606.ENSP00000295688	364
ANP32A	9606.ENSP00000417864	360
RPS8	9606.ENSP00000379888	359
LMNA	9606.ENSP00000357283	358
HMGB2	9606.ENSP00000296503	356
DDX39B	9606.ENSP00000416269	355
HSPA9	9606.ENSP00000297185	355
YWHAH	9606.ENSP00000248975	349
RAB1B	9606.ENSP00000310226	347
SRSF3	9606.ENSP00000362820	347
CFL2	9606.ENSP00000298159	346
FABP5	9606.ENSP00000297258	345
SLC25A5	9606.ENSP00000360671	344
CACYBP	9606.ENSP00000356652	342
FKBP1A	9606.ENSP00000383003	342
GP9	9606.ENSP00000303942	342
HSPA1L	9606.ENSP00000364805	341
SNRPD2	9606.ENSP00000342374	339
RPS4X	9606.ENSP00000362744	338
RPS26	9606.ENSP00000348849	337
RPL32	9606.ENSP00000416429	337
GNB1	9606.ENSP00000367872	337
TMSB10	9606.ENSP00000233143	336
PRAP1	9606.ENSP00000416126	335
RAB14	9606.ENSP00000362946	332
HNRNPA1P48	9606.ENSP00000493805	332
PSMB1	9606.ENSP00000262193	332
AK2	9606.ENSP00000499935	331
CYCS	9606.ENSP00000307786	331
TALDO1	9606.ENSP00000321259	328
PHB	9606.ENSP00000479488	328
SELL	9606.ENSP00000498227	326
HADHA	9606.ENSP00000370023	326
C8A	9606.ENSP00000354458	323
SPARC	9606.ENSP00000231061	322
RPS9	9606.ENSP00000375632	319
CYB5R3	9606.ENSP00000354468	318
PSMA2	9606.ENSP00000223321	317
CLTC	9606.ENSP00000479606	316
RPS11	9606.ENSP00000270625	315
RPL29	9606.ENSP00000294189	314
UBA1	9606.ENSP00000338413	314
PSMA1	9606.ENSP00000414359	313
SERBP1	9606.ENSP00000360034	313
CCT7	9606.ENSP00000258091	312
RPL19	9606.ENSP00000225430	312
RPS24	9606.ENSP00000414321	312
RHOA	9606.ENSP00000400175	310
NME1	9606.ENSP00000337060	310
ENSP00000451560	9606.ENSP00000451560	310
HNRNPM	9606.ENSP00000325376	309
ALDOC	9606.ENSP00000378731	308
PTGES3	9606.ENSP00000482075	305
PSMA5	9606.ENSP00000271308	304
IGKV1-33	9606.ENSP00000479032	304
IGKV1D-33	9606.ENSP00000482678	304
TPT1	9606.ENSP00000477781	303
HNRNPH1	9606.ENSP00000349168	302
SOD2-2	9606.ENSP00000442920	301
CA2	9606.ENSP00000285379	299
VDAC2	9606.ENSP00000361635	299
C8G	9606.ENSP00000360697	298
ECM1	9606.ENSP00000358045	298
ATP5PO	9606.ENSP00000290299	295
RPS28	9606.ENSP00000472469	295
SNRPE	9606.ENSP00000400591	295
IGHV3-72	9606.ENSP00000480035	294
RPS20	9606.ENSP00000429374	294
RPL18A	9606.ENSP00000222247	294
KRT16	9606.ENSP00000301653	293
COX6B1	9606.ENSP00000466818	293
TCP1	9606.ENSP00000317334	291
RPL18	9606.ENSP00000447001	290
UBE2N	9606.ENSP00000316176	289
PGD	9606.ENSP00000270776	288
CAPZA1	9606.ENSP00000263168	288
SELENOP	9606.ENSP00000425915	288
CSRP1	9606.ENSP00000356275	286
PSME1	9606.ENSP00000372155	286
ANP32B	9606.ENSP00000345848	285
PSMB3	9606.ENSP00000483688	285
RPL9	9606.ENSP00000494697	285
CBX3	9606.ENSP00000336687	284
RPS12	9606.ENSP00000230050	283
KRT14	9606.ENSP00000167586	280
SUB1	9606.ENSP00000265073	280
RAB11B	9606.ENSP00000333547	280
SLC25A4	9606.ENSP00000281456	280
ATP5F1C	9606.ENSP00000349142	278
SRSF7	9606.ENSP00000325905	278
CD14	9606.ENSP00000385519	277
PARVB	9606.ENSP00000384515	276
ARPC5	9606.ENSP00000294742	275
APOB	9606.ENSP00000233242	274
EIF4A1	9606.ENSP00000293831	274
RPL39	9606.ENSP00000355315	273
LTF	9606.ENSP00000231751	271
RAB1A	9606.ENSP00000387286	271
SHBG	9606.ENSP00000369816	270
CST1	9606.ENSP00000305731	268
PA2G4	9606.ENSP00000302886	268
ALYREF	9606.ENSP00000421592	267
ITGB3	9606.ENSP00000452786	265
PCNA	9606.ENSP00000368458	264
HADH	9606.ENSP00000474560	264
APOL1	9606.ENSP00000317674	262
RPL31	9606.ENSP00000386717	262
