gene_symbol,gc_content
ADGRG6,0.35701772001135634
ADGRG7,0.38023265291864133
ADGRL2,0.36772339070583
ADGRL3,0.3529094201660573
ADGRL3-AS1,0.36074539193842414
ADGRL4,0.35253248921274033
ADGRV1,0.3721874242238157
ADH1A,0.35592757089169796
ADH1B,0.364741577735928
ADH1C,0.35575384615384614
ADH4,0.3753222404499649
ADH5,0.40372531418312385
ADH6,0.3737869822485207
ADH7,0.3701935483870968
ADHFE1,0.4301373832001352
ADIG,0.48551975224000565
ADIPOQ,0.4384517766497462
ADIPOQ-AS1,0.46979707409155264
ADIPOR1,0.4427790612497887
ADIRF,0.49558150035477005
ADIRF-AS1,0.5600786700311712
ADK,0.3742845791231329
ADM,0.58967741935483875
ADM-DT,0.6049618320610687
ADM2,0.6361780318497345
ADM5,0.6527494908350305
ADNP,0.41670194252387
ADNP-AS1,0.415743028591599
ADNP2,0.4167581412367362
ADO,0.4848404255319149
ADORA1,0.48142067959141127
ADORA2A,0.5923853098574288
ADORA2A-AS1,0.46806540254140794
ADORA2B,0.4967501714733645
ADORA3,0.3938168846611177
ADPGK,0.43504181981304085
ADPGK-AS1,0.45837943377806706
ADPRH,0.4623525004682525
ADPRHL1,0.5542893203162701
ADPRM,0.4047261009667025
ADPRS,0.5510811346954969
ADRA1A,0.4125611731820128
ADRA1B,0.44166917266632466
ADRA1D,0.5177960778840115
ADRA2A,0.597061098221191
ADRA2B,0.6114718614718615
ADRA2C,0.6942110177404295
ADRB1,0.5876933201711089
ADRB2,0.505712866368604
ADRB3,0.4930564166150031
ADRM1,0.6409158050221566
ADSL,0.4499920459968639
ADSS1,0.6071784214400139
ADSS2,0.380850377740925
ADTRP,0.43458991715179013
AEBP1,0.6270307300841652
AEBP2,0.4032933763105472
AEN,0.5136592051164915
AFAP1,0.46389607809594235
AFAP1-AS1,0.5289715113471752
AFAP1L1,0.46211287423898356
AFAP1L2,0.48262123293278636
AFDN,0.38795972793616007
AFDN-DT,0.46586345381526106
AFF1,0.41184635843873463
AFF1-AS1,0.448284800829517
AFF2,0.38840948950798626
AFF3,0.41692554983694224
AFF4,0.4042044424297371
AFG1L,0.3912973841072503
AFG3L1P,0.5098542983671952
AFG3L2,0.44637975312732997
AFM,0.36253762861122346
AFMID,0.5105922831162448
AFP,0.3451292087710189
AFTPH,0.37289122429076726
AFTPH-DT,0.3749344520188778
AGA,0.3969478737997256
AGA-DT,0.3806178817431631
AGAP1,0.4733158972525629
AGAP1-IT1,0.5153922542204568
AGAP10P,0.40575065244265374
AGAP11,0.44084308786486887
AGAP13P,0.39120355867426854
AGAP14P,0.40496021590433207
AGAP2,0.576561395879763
AGAP2-AS1,0.660594439117929
AGAP3,0.5772617138176979
AGAP4,0.41107418145817126
AGAP5,0.42186122654577507
AGAP6,0.4080010775862069
AGAP7P,0.4079492133590947
AGAP9,0.40477392701400045
AGBL1,0.39113008473133676
AGBL1-AS1,0.3889895470383275
AGBL3,0.3681993855911208
AGBL4,0.39048796828652116
AGBL4-AS1,0.39090526315789476
AGBL4-IT1,0.3706390151708638
AGBL5,0.4846597544145228
AGBL5-AS1,0.6597938144329897
AGFG1,0.3709496328565334
AGFG2,0.4983113929285271
AGGF1,0.4054676376062813
AGK-DT,0.4333346347557881
AGL,0.3633167261718909
AGMAT,0.49292293866546844
AGMO,0.34987655481491514
AGO1,0.4484314532729518
AGO2,0.5118377526455256
AGO3,0.3875006171402777
AGO4,0.41668170426065165
AGPAT2,0.6271044359063919
AGPAT3,0.5164501103211572
AGPAT4,0.4535549463895347
AGPS,0.3660222975803166
AGR2,0.38421065276409677
AGR3,0.35178951098511696
AGRN,0.6570738076057668
AGRP,0.6110542476970318
AGT,0.47376261734006897
AGTPBP1,0.3665795356307963
AGTR1,0.3737976782752902
AGTR2,0.33632710943039473
AGTRAP,0.54372562636893
AGXT,0.6176898707081085
AGXT2,0.42330368741880686
AHCTF1,0.3874487081453081
AHCTF1P1,0.40800469139422374
AHCY,0.47091459532502633
AHCYL1,0.40920519267278976
AHCYL2,0.39971829887611976
AHDC1,0.5638876656675711
AHI1,0.3636828692077311
AHI1-DT,0.37393743544061486
AHNAK,0.500529773257046
AHNAK2,0.5729255306216722
AHR,0.3686698801653509
AHRR,0.5164010362160957
AHSA1,0.4603981728863225
AHSA2P,0.4461047439431307
AHSG,0.4772974936432982
AHSP,0.5232300884955752
AICDA,0.41390914189568145
AIDA,0.38461878844196645
AIF1L,0.5381789556546838
AIFM1,0.4346338622798078
AIFM2,0.5024775293846508
AIFM3,0.5923829446871347
AIG1,0.39655264592979117
AIM2,0.40104948412182523
AIMP1,0.3663491876271636
AIMP2,0.4692729766803841
AIP,0.5260867673295331
AIPL1,0.49333847302864575
AIRE,0.6387479509796269
AIRN,0.5176040237768633
AJAP1,0.5240201267346258
AJM1,0.7136306135357369
AJUBA,0.5283516483516484
AJUBA-DT,0.4771381478542214
AK1,0.5657453936348409
AK2,0.4631999671489385
