,dim1
AMIGO3,-0.009342334934399505
SLC12A9,-0.002914128400165068
LAT,-0.006936839039997259
ZNF560,-0.008770629037853011
CBFB,0.0047377649652400045
ST3GAL2,-6.301803630716276e-05
ATXN7L2,-0.01024907163890072
KLHDC7B,-0.00986991328481796
C2orf72,-0.005863632825739001
JAK2,0.009062873205429372
SLC22A12,-0.0029086612688229586
SULT1A4,-0.00224042145445501
GHITM,0.007479380650454171
RUFY1,0.004702962225652053
SDR42E2,-0.005124499843906558
WASF2,0.0047541609757782806
KIAA2012,-0.005848366016424993
CEACAM8,-0.003340136537720431
CD82,0.003829935515929779
PRDM10,-0.002132023304168651
CDCA2,-0.008444822783830746
PFDN1,0.007691801406017176
IPP,-0.003464822099091966
ZNF701,-0.007371648993664781
CYSLTR2,-0.004421722063624417
FAM53A,-0.011773878876566404
FOLH1,0.002464617074056282
NPM2,-0.002057285077892481
LRRC71,-0.007975198571436618
PIH1D1,-0.0009555396631728035
TAS2R19,-0.008473929241034127
CXCL13,-0.004522713135380621
CAD,0.02583049382761779
ZCCHC8,-0.0034086399370957463
ITPKA,-0.0026471092732635432
GZMB,-0.0007419959736000896
FAM118B,-0.001521364093554792
SLIRP,0.0026714600999609376
CCDC12,0.004531230307650141
SCMH1,0.009054134165960053
C3orf80,-0.009203355540836244
FBXW2,-0.0006613505564450261
WFDC8,-0.009154285151934236
CDC7,-0.002902411764034821
ACBD3,0.002839427731197173
MAPKAP1,0.004306319477416992
GON4L,0.018466488950817424
VGF,-0.006657763467698583
CCR7,-0.0010396940271967248
CTTNBP2NL,0.0020190941698485024
MARK2,0.00900559146496771
PAEP,-0.0027230114272199456
TRIM26,-0.004197785878017996
ZNF780B,0.003332173181196262
CEBPG,0.0010397795602019656
GAL3ST3,-0.007945253107680723
MAPK1,0.013495689791681436
MED30,0.00391095238511575
MICOS13,0.0012559654474921273
NOP53,-0.0004680321008404033
PAFAH1B2,0.0056851014604464775
ZNF16,-0.0050556501912079966
OR6C1,4.883777301861033e-05
PACSIN1,0.008610450499218525
GOLGA8T,-0.01271148510740897
TGFBI,0.003109460874646085
ATP13A3,0.010071091109095577
F13B,-0.005533410032636382
KTN1,0.006409552346312069
KNDC1,0.010997629097652936
MYOCOS,-0.007723900112253161
PPIAL4A,-0.00039379103621864164
TAF5L,-0.0014078340346954773
AFG1L,0.004848464152332897
ZNF626,-0.003160818819954768
PSMD13,0.00702427678789649
HOXC9,-0.0010698791376323696
MAGOHB,0.0037313070016140987
NET1,0.0013399612012953387
POLR3F,0.000965028043593838
PRR20A,-0.00818990132517342
