Gene,MF.score
ELOVL3,6.986372956489495e-5
ACOT4,1.4568368791185104e-4
HACD2,4.8611835006279574e-5
TECRL,7.6243699217865225e-6
HACD4,3.5314024214038036e-5
ACOT1,1.0342189851046915e-5
ABCB7,3.416947112624617e-4
ARHGAP1,3.9111437212716517e-5
ATOX1,4.24585563655147e-5
ATP7A,5.397396060666448e-4
ATP7B,1.290592723866065e-4
B2M,3.6268839407766065e-4
CLTC,1.2959659024810186e-4
SLC31A1,2.1631523486916003e-4
SLC31A2,8.14531400489496e-5
CP,4.782969615723924e-5
DNM2,1.3407909998592994e-4
FKBP4,1.1533064952733328e-4
FXN,3.2072995727834856e-4
FTH1,1.1114756378009373e-4
FTL,4.181832791723437e-5
CBLIF,3.702857779260674e-5
HFE,3.6359840521958035e-4
HPX,8.02158296934785e-5
IFNG,8.595027388307253e-4
LCN2,8.916382781066619e-5
LTF,4.614700151308525e-4
MELTF,3.9173107773305416e-5
MT3,2.0276171763646824e-4
SLC11A2,5.336490982585663e-4
NECTIN1,4.780234570227356e-5
SLC1A1,5.613083005594921e-4
SLC11A1,2.592400746261401e-4
TCN1,3.867880176841003e-5
TCN2,3.620016918393322e-5
TF,8.052557779754258e-5
TFR2,1.1710488032880109e-4
TRPM2,1.402641319010836e-4
SLC30A1,5.378159981401122e-4
SLC30A2,2.1464849343713632e-4
SLC30A3,7.245815927070297e-5
SLC30A4,4.567548357010488e-5
SLC39A7,1.9413962564473097e-5
AP3D1,2.2431264248303122e-4
RAB11B,7.447032495886389e-5
ASIC3,2.1533965713973712e-4
HEPH,2.1316958729282186e-4
ATP2C2,6.336794847882882e-5
ABCC5,2.2897083019308e-4
ABCB6,1.9942580263128878e-4
COX17,7.604583139673373e-5
PGRMC2,2.4227862534729624e-5
SLC30A9,1.3261994071676048e-5
LMTK2,4.209668218259405e-5
ISCU,2.3672329806370183e-4
SLC39A14,1.1716075329128346e-4
SLC39A6,2.8653997947675033e-5
ATP2C1,1.8535013401638282e-4
SLC39A1,1.1905894932471383e-5
FLVCR1,1.0784957783055801e-4
SLC39A3,1.5316676079198502e-5
SLC39A2,2.4904751012201827e-05
SLC40A1,9.722975623508071e-5
CUTC,8.293425943803337e-6
SLC22A17,2.3509236840193838e-5
SLC25A37,6.485082164605964e-5
FTHL17,9.605400732570154e-6
TRPM7,6.467034811433463e-5
STEAP3,7.694815609261115e-5
SLC39A9,1.0733485805351176e-4
SLC30A10,2.191440110931782e-4
SLC39A4,1.210376912221947e-4
FLVCR2,8.243875765956017e-5
SLC48A1,1.4668580638466284e-4
SLC30A6,6.499465273074072e-5
TMEM165,7.967837207754489e-5
TRPC7,1.958046736246022e-5
ATP13A1,1.7172247769259264e-4
SLC39A10,5.303848895229628e-5
MCOLN1,1.0749087207048881e-4
TTYH1,5.746138506858104e-5
HAMP,2.7515624871852866e-4
SLC39A8,4.1371436895671634e-4
SLC30A5,1.651629082661203e-4
STEAP4,8.909309768470572e-5
CYBRD1,1.0723222038008044e-4
TRPM3,1.1774369358114722e-5
TMEM163,4.942231463768099e-5
SLC25A28,4.452628642366951e-5
SLC41A2,4.35522185594762e-5
SLC39A13,1.1471915947311706e-5
MMGT1,7.900162472904519e-5
FTMT,9.717376423665653e-5
SFXN1,6.16272711060341e-5
SLC46A1,2.454505978834959e-4
